Arm,Study,Journal_Year,Disease,Compartment,Modality,Patients,Cells_or_samples,Repository,Accession,Access,Link,Availability_comment
MF skin - spatial (GeoMx + proteomics),Amechi et al. 2025,J Invest Dermatol 2025,MF (skin-of-color cohort),Skin (FFPE),GeoMx DSP-WTA + spatial proteomics,Skin-of-color MF,Perifollicular vs interfollicular ROIs,Supplement,See paper data-availability,Summary-level (ROI) - verify,https://www.jidonline.org,"Fills demographic gap; dual transcriptomic+proteomic spatial. ROI-level."
MF skin - spatial (MELC imaging),Sarkar et al. 2024,npj Syst Biol Appl 2024,CTCL vs AD vs psoriasis,Skin (FFPE),MELC multiplex protein imaging (>=35 channels; NO RNA),"69 (21 CTCL, 23 AD, 25 PSO)","Spatial protein graphs (no scRNA cells)",Zenodo,10.5281/zenodo.11125482,Open,https://doi.org/10.5281/zenodo.11125482,"CONFIRMED open (data) + code at github.com/bionets/shout. Protein imaging only - no transcriptomic counts; usable for spatial-organization (entropy/egophily) analysis, not DE meta-analysis."
SS/blood - scRNA (validation),Buus et al. 2018,Blood Adv 2018,SS,Blood (PBMC),Targeted scRNA panel + flow + ex-vivo HDACi,Small SS cohort,Targeted panel (not WT),See paper,Not a standard 10x GEO deposit,Verify in paper,https://ashpublications.org/bloodadvances,"Targeted panel (pre-droplet) + flow - not whole-transcriptome; limited use for a transcriptome-wide DE meta-analysis. Historical/conceptual value."
SS/blood - scRNA (validation),Borcherding et al. 2019,Clin Cancer Res 2019,SS + 4 HC,Blood (PBMC),scRNA (10x) + Monocle,1 SS + 4 HC,"~7,879 cells (3,443 malignant)",GEO,GSE124899 (original deposit),Open (verify split),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124899,"GSE124899 is the Jabbari-lab SS deposit, re-listed in Borcherding 2023 (GSE124899 + GSE146586). Small n; FOXP3->GATA3/IKZF2 trajectory + 19-gene stage classifier. Verify the 2019-vs-2023 series split on GEO."
SS multimodal (blood+skin),Xue et al. 2022,Cell Death Dis 2022,SS + HC (+ MF/PsoE validation),Blood + Skin,scRNA + scATAC (10x),1 SS index + validation cohort,"40,333 PBMC + 41,580 skin + 11,058 ATAC",GSA/GEO (Shandong group),See paper data-availability,Verify in paper,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9674677/,"ONLY scATAC dataset in CTCL. n=1 index for the multiomic core; 5-gene panel TOX/DNM3/KLHL42/PGM2L1/SESN3 (note SESN3 = your flagged cross-study discrepancy). Confirm exact GSA/GEO code."
CTCL myeloid scRNA,Du et al. 2022,Cancer Letters 2022,Advanced CTCL + HC,Skin,scRNA (10x),Small,Not stated in abstract,See paper,Verify in paper,https://www.sciencedirect.com/,"T-myeloid signaling (S100A9-TLR4-NFkB; tasquinimod validation). Confirm deposit + raw-count availability."
SS treatment - scRNA,Gaydosik et al. 2022 (pembrolizumab),OncoImmunology 2022,SS (3 responders / 3 non-responders),Blood (PBMC),scRNA (10x 5') + scTCR; pre/post,6,"118,961 T cells",dbGaP,phs002933.v1.p1,Controlled (dbGaP),https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002933.v1.p1,"CONFIRMED controlled-access (dbGaP) - requires data-access request; NOT an open download. KIR3DL2-low predicts anti-PD-1 response. (Stanford/Khodadoust group.)"
SS/blood - scRNA (validation),Borcherding et al. 2023,Blood Adv 2023,SS (treatment course),Blood (PBMC),scRNA (10x 5') + scTCR,6,"~50,000 T cells (TCR on 43,074)",GEO,GSE124899 + GSE146586,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146586,"CONFIRMED open: raw + processed. Photopheresis/vorinostat timepoints; CDO1/DNM3 markers. scRepertoire-based. Good SS validation arm."
SS/blood - scRNA (validation),Peiffer et al. 2023,Front Oncol 2023,SS,Blood + Skin,scRNA (10x 5') + scTCR; no presort,1,Not stated,EGA (Becker group),See paper data-availability,Controlled (likely EGA) - verify,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9905421/,"Single-patient SS blood->skin plasticity (matches Rindler 2021 design). Becker group - expect controlled-access EGA."
SS treatment - scRNA,Borcherding et al. 2024 (moga + IFN),Blood Adv 2024,SS,Blood (PBMC),scRNA (10x 5') + in vitro/in vivo,SS cohort,Not stated,GEO,See paper data-availability,Verify in paper,https://ashpublications.org/bloodadvances,"Mogamulizumab + type-I IFN restores monocyte phagocytosis. Confirm GEO accession; Jabbari/Borcherding lab usually deposits openly."
SS - scRNA + CITE (validation),Childs et al. 2026 (preprint May 2025),JEADV 2026,SS / leukemic-MF + 7 HC,Blood (PBMC),scRNA (10x 5'+VDJ) + CITE-seq (n=7) + TCR,22 (8 in-house + 14 public) + 7 HC,"144,321 PBMC -> 70,519 QC",GEO/Zenodo + reused public,See paper data-availability,Partly open (14/22 reused public),https://www.medrxiv.org/content/10.1101/2025.05.20.25327833v1,"14/22 patients are RE-USED public datasets (overlap risk with other rows). In-house 8 + CITE-seq deposit per paper - confirm. Three MTC states (CM/E-EM/Reg); protein-validated. Best modern SS-blood validation set."
SS treatment - scRNA,"Geskin, Gaydosik, Lapolla, Fuschiotti 2026 (dupilumab)",Cancer Immunol Res 2026,SS (pre/post REGN668),Blood (PBMC),scRNA (10x 5') + scTCR,SS cohort,Not stated,GEO,GSE290850,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290850,"CONFIRMED open. IL-4/IL-13 dual blockade reduces malignant proliferation + reverses immunosuppressive TME. Cleanest treatment-cohort GEO deposit."
Multi-omic (NEW - not in corpus),"Dorando, Andrews, Borcherding, Payton et al. 2025",bioRxiv 2025 (preprint),CTCL (MF/SS; serial/longitudinal),Skin + Blood + LN,"Exome + WGS + epigenome + bulk RNA + scVDJ + scRNA",35,"114 serial samples; 26 eWGS (10 pts); 68 bulk (35 pts)",bioRxiv (deposit pending),See preprint data-availability,Preprint - check (likely dbGaP/GEO),https://www.biorxiv.org/content/10.1101/2025.02.11.637715v1,"NEW addition - most multi-omic + most longitudinal CTCL dataset to date (WashU Payton lab). Serial single-patient clonal-evolution design. Public accession likely not posted until peer review; watch for dbGaP (genomic) + GEO (scRNA)."
Bulk multi-omic (context),Licht & Mailaender 2024,Cancers 2024,MF (stratified by S. aureus),Skin + swabs,"Bulk RNA + microbiome + virome + TCR (MOFA)",10,Bulk (not single-cell),See paper,Verify in paper,Context only,https://www.mdpi.com/journal/cancers,"NOT single-cell. Etiologic context (spa+ S. aureus -> NF-kB). Include only as a bulk cross-reference, not in the scRNA/spatial meta-analysis."
